"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1","When user clicks User button","","Sat Oct 12 13:28:02 WIB 2024","skipped","Sat Oct 12 13:28:02 WIB 2024","","User Management: Add New User","",""
"","2","When user login using """" as username and ""secret_sauce"" as password","","Fri Oct 11 16:29:03 WIB 2024","broken","Fri Oct 11 16:29:03 WIB 2024","","Login test: Login with empty field","",""
"","0","Then user should see an error message ""Epic sadface: Username and password do not match any user in this service""","","Fri Oct 11 16:28:58 WIB 2024","broken","Fri Oct 11 16:28:58 WIB 2024","","Login test: Login with invalid credentials - effective","",""
"","1","Then user should see an error message ""\""email"" is not allowed to be empty""","","Fri Oct 11 22:22:01 WIB 2024","broken","Fri Oct 11 22:22:01 WIB 2024","","Login and Product Management: Login with empty field","",""
"","71","hook:","","Fri Oct 11 18:29:33 WIB 2024","failed","Fri Oct 11 18:29:33 WIB 2024","","","",""
"","62","When user clicks on login button","","Fri Oct 11 16:34:56 WIB 2024","passed","Fri Oct 11 16:34:56 WIB 2024","","Login test: Login with valid credentials","",""
"","40","When user inputs """" as email","","Sat Oct 12 13:28:00 WIB 2024","passed","Sat Oct 12 13:28:00 WIB 2024","","Login and Product Management: Login with empty field","",""
"","0","Then user should see an error message """"Kredensial yang Anda berikan salah""""","","Fri Oct 11 22:19:42 WIB 2024","broken","Fri Oct 11 22:19:42 WIB 2024","","Login and Product Management: Login with empty field","",""
"","2","Then user should see an error message """"\""password\"" is not allowed to be empty""""","","Fri Oct 11 22:26:26 WIB 2024","broken","Fri Oct 11 22:26:26 WIB 2024","","Login and Product Management: Login with empty field","",""
"","6076","Then user should be redirected to the Dashboard","","Fri Oct 11 18:29:15 WIB 2024","passed","Fri Oct 11 18:29:21 WIB 2024","","Login and Product Management: Update Product Details","",""
"","0","And user inputs ""secret_sauce"" as password","","Fri Oct 11 16:28:57 WIB 2024","skipped","Fri Oct 11 16:28:57 WIB 2024","","Login test: Login with valid credentials","",""
"","20","And user clicks on login button","","Sat Oct 12 13:28:01 WIB 2024","passed","Sat Oct 12 13:28:01 WIB 2024","","Login and Product Management: Login with empty field","",""
"","237","And user clicks on login button","","Fri Oct 11 18:29:17 WIB 2024","passed","Fri Oct 11 18:29:17 WIB 2024","","Login and Product Management: Update Product Details","",""
"","49","And user inputs ""admin123"" as password","","Sat Oct 12 13:28:00 WIB 2024","passed","Sat Oct 12 13:28:00 WIB 2024","","Login and Product Management: Login with empty field","",""
"","8029","Then user should see an error message ""Kredensial yang Anda berikan salah""","","Sat Oct 12 13:28:01 WIB 2024","passed","Sat Oct 12 13:28:09 WIB 2024","","Login and Product Management: Login with empty field","",""
"","100","And user inputs ""admin123"" as password","","Fri Oct 11 18:29:15 WIB 2024","passed","Fri Oct 11 18:29:15 WIB 2024","","Login and Product Management: Update Product Details","",""
"","247","When user clicks Add button","","Fri Oct 11 17:36:25 WIB 2024","passed","Fri Oct 11 17:36:26 WIB 2024","","Login test: Add New Product","",""
"","0","Then user should see an error message """"password"" is not allowed to be empty""","","Fri Oct 11 22:07:35 WIB 2024","broken","Fri Oct 11 22:07:35 WIB 2024","","Login and Product Management: Login with empty field","",""
"","0","And user clicks on login button","","Fri Oct 11 17:36:37 WIB 2024","skipped","Fri Oct 11 17:36:37 WIB 2024","","Login test: Update Product Details","",""
"","10166","Then user should be redirected to the home page","","Fri Oct 11 16:34:56 WIB 2024","failed","Fri Oct 11 16:35:06 WIB 2024","","Login test: Login with valid credentials","",""
"","0","And user inputs ""admin123"" as password","","Fri Oct 11 17:36:36 WIB 2024","skipped","Fri Oct 11 17:36:36 WIB 2024","","Login test: Update Product Details","",""
"","3","When user inputs ""visual_user"" as email","","Fri Oct 11 16:28:57 WIB 2024","broken","Fri Oct 11 16:28:57 WIB 2024","","Login test: Login with valid credentials","",""
"","22","And user clicks on login button","","Fri Oct 11 18:29:15 WIB 2024","passed","Fri Oct 11 18:29:15 WIB 2024","","Login and Product Management: Update Product Details","",""
"","198","Given user is on the Login page","","Fri Oct 11 18:29:16 WIB 2024","passed","Fri Oct 11 18:29:17 WIB 2024","","Login and Product Management: Update Product Details","",""
"","1","And user inputs user details","","Sat Oct 12 13:28:02 WIB 2024","skipped","Sat Oct 12 13:28:02 WIB 2024","","User Management: Add New User","",""
"","598","When user inputs ""nadia@gmail.com"" as email","","Fri Oct 11 17:36:22 WIB 2024","passed","Fri Oct 11 17:36:22 WIB 2024","","Login test: Add New Product","",""
"","1","And user clicks Save button","","Sat Oct 12 13:27:57 WIB 2024","skipped","Sat Oct 12 13:27:57 WIB 2024","","Login and Product Management: Add New Product","",""
"","15","Then user should see an error message ""Epic sadface: Username and password do not match any user in this service""","","Mon Sep 23 17:53:21 WIB 2024","passed","Mon Sep 23 17:53:21 WIB 2024","","Login test: Login with invalid credentials - effective","",""
"","5550","Then user should be redirected to the Dashboard","","Fri Oct 11 18:29:17 WIB 2024","passed","Fri Oct 11 18:29:23 WIB 2024","","Login and Product Management: Update Product Details","",""
"","244","And user inputs ""admin123"" as password","","Sat Oct 12 13:27:49 WIB 2024","passed","Sat Oct 12 13:27:49 WIB 2024","","Login and Product Management: User success login","",""
